id,onsenti,shisetsu,address,lat,lng
191,原鶴温泉,やぐるま荘,福岡県朝倉市杷木久喜宮1890-1,33.351691,130.7828408
192,久留米温泉,いづみ乃湯,福岡県久留米市新合川1-6-30,33.3220924,130.541796
193,山鹿温泉,新青山荘,熊本県山鹿市新町104,33.0180959,130.6839166
195,阿久根温泉,きみよし温泉,鹿児島県阿久根市大丸町60,32.0158364717,130.196703189
196,甘木温泉,天然温泉　卑弥呼ロマンの湯,福岡県朝倉市甘木198-1,33.4159625,130.6599843
200,加久藤温泉,加久藤温泉,えびの市大字西長江浦152,32.020834,130.81535
201,大阿蘇　火の山温泉,どんどこ湯,阿蘇郡南阿蘇村下野135-1,32.9042823353,130.990386912
202,垂玉温泉,瀧日和,阿蘇郡南阿蘇村河陽2331,32.8617634182,131.035430039
203,湯平温泉,旅館 山城屋,由布市湯布院町湯平309－1,33.1928286199,131.326713283
204,天ヶ瀬温泉,瀬音・湯音の宿　浮羽,日田市天瀬町赤岩３-５,33.2553419613,131.032420466
205,曽山寺温泉,ほのかの湯 加江田店,宮崎市大字加江田字片ノ田3729-1,31.8134527903,131.437768653
206,吉松温泉,前田温泉,姶良郡湧水町鶴丸1281-2,32.0271954782,130.742526666
207,滝の湯,滝乃湯,姶良市蒲生町白男1477,31.7708277188,130.534249082
208,湯の鶴温泉,喜久屋旅館,水俣市湯出1402,32.1509041183,130.441559898
209,人吉温泉,相良路の湯 おおが,人吉市灰久保町22-3,32.2089941367,130.755523742
216,府内温泉,府内温泉,大分県大分市府内町3丁目3-8府内トレス1F,33.2380708559,131.608480407
217,テイエム牧場温泉,テイエム牧場温泉,鹿児島県垂水市新城4453-1,31.4213455758,130.758311386
218,吉井温泉,ニュー筑水荘　　,うきは市吉井町千年596,33.3517899,130.7751972
219,湯本温泉,奥壱岐の千年湯　平山旅館,壱岐市勝本町立石西触77,33.8051422,129.6855935
220,阿蘇内牧温泉,雲海薬師温泉,阿蘇市内牧39,32.9774413872,131.046915626
221,宝田温泉,たからの湯,熊本市北区植木町平井1641,32.93516922,130.729278564
222,九酔渓温泉,渓谷の宿　二匹の鬼,玖珠郡九重町田野947-5,33.173182,131.214486
223,法華院温泉,法華院温泉山荘,竹田市久住町大字有氏1783,33.0983452929,131.255571534
224,南郷温泉,南郷温泉どんタロの湯,東臼杵郡美郷町南郷神門１５１－１,32.388949,131.331596
227,林田温泉,ゆのやまの湯,朝倉市杷木林田1134-8,33.3644659103,130.826561977
228,龍神温泉,かやぜの湯,大村市田下町17-3,32.9501428,129.9896023
229,別府温泉,永石温泉,別府市南町2-2,33.273096,131.5009401
230,天ヶ瀬温泉,みはらしの宿ふろんでん,日田市天瀬町赤岩108-1,33.25608,131.0371807
231,さいと温泉,さいと温泉,西都市調殿1355-1,32.1148949,131.4140968
232,ひなもり温泉,こばやし温泉美人の湯,小林市堤4380番地,31.9621769,131.0075058
233,入来温泉,百薬の名湯 諏訪温泉,薩摩川内市入来町浦之名8920,31.810512,130.44188
